,pid,eid,probe,subject,date
0,9d0062d1-edf7-42c2-94ab-4b14f67742e7,e13d0e58-55c8-4787-a716-03549b3d0240,probe01,ZFM-05727,2023-02-08
1,4eaaff3b-9706-440e-af3f-11d7e64f353c,a1d9a3a6-873c-47fe-9350-6c87876a5669,probe01,ZFM-05725,2023-02-07
2,540ea29f-610e-47b5-9d2b-cc2425c63ec7,a6b9f254-7682-47a4-9abd-753013c87c70,probe00,ZFM-05727,2023-02-01
3,9523391b-d87d-47e4-9f60-ee1abc431202,a6b9f254-7682-47a4-9abd-753013c87c70,probe01,ZFM-05727,2023-02-01
4,1a137e13-99e3-4d75-b421-27779d2c15c1,8dfd9963-25e5-4f63-8f91-5b27a5852628,probe01,ZFM-05725,2023-01-31
5,31e88aa5-1cb9-4a38-89d0-4a83413a5eee,8af06a79-cd95-446e-a57a-7c908d2dbe47,probe01,ZFM-05727,2023-01-25
6,23706cf9-d367-48a2-855e-bb271541ec54,996f3585-b804-4a3d-878a-1c15d708962b,probe00,ZFM-05486,2022-12-15
7,387de168-4a60-48d7-be77-9ddce5a4a757,996f3585-b804-4a3d-878a-1c15d708962b,probe01,ZFM-05486,2022-12-15
8,8eb4026a-7b2e-4bb7-9939-9b17202052d4,2583567d-cd2a-485a-8d79-85aa619e1ce2,probe01,ZFM-05496,2022-12-15
9,dc0b7750-372a-45a5-a590-1adf1491f98b,2583567d-cd2a-485a-8d79-85aa619e1ce2,probe00,ZFM-05496,2022-12-15
10,5e941562-6a56-407d-b3a3-c455acf36c12,98317b26-72d6-4805-9a68-beb7d37f955c,probe00,ZFM-05496,2022-12-08
11,d46ba0cb-fd0c-4322-86fd-07fd690729a0,98317b26-72d6-4805-9a68-beb7d37f955c,probe01,ZFM-05496,2022-12-08
12,a359c636-17de-4151-8dc7-9fc78d0db374,1bc4aea6-c6fa-4cb8-882f-ea1cc4a12667,probe00,ZFM-05486,2022-12-07
