coarse_region,0
Amygdala,0.9984699217220435
Auditory Ctx,
Basal Forebrain,0.8012082870705166
Claustrum,0.2940952693231423
Entorhinal Ctx,
Fiber tract,0.010643707138259169
Habenula,
Hippocampus,2.6539093012682992e-08
Hypothal,0.517919409432072
Motor Ctx,
None,0.013323624615702077
Olfactory Ctx,0.1165521815557184
Prefrontal Ctx,0.0008774437769366708
Septum,0.0002620221121424985
Somatosens. Ctx,
Striatum,0.001357381303842281
Supp. Motor Ctx,0.012296764085737237
Thalamus,0.0006188305702417627
Visual Ctx,
